Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Image_Reverse,-0.0016823,-2.5148E-06,-0.013172,0,0,0,0.038191,2.1117E-06,-8.0207E-09,-4.5112E-08,2.2257E-05,1.301E-08,2.3574E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Image_Reverse.STL,1,1,1,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Image_Reverse.STL,,Camera+cone+mount-2/Intel_RealSense_Depth_Camera_D435-2,Image_reverse,Axis_Image_Reverse,Image_Reverse,fixed,0.0249499999999996,-0.000125918704536931,0.00377044867290444,-1.5707963267949,0,-1.5707963267949,Reverse_Camera,0,0,0,,,,,,,,,,,,
Front_Rocker,-5.6658E-05,0.04383,0.00011557,0,0,0,0.45983,0.00022745,-4.1425E-06,-8.143E-07,0.003432,-1.0526E-09,0.0032541,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Front_Rocker.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Front_Rocker.STL,,Front_Rocker-1/3060_400-1;Front_Rocker-1/front_left-1/Part5^front_left-1;Front_Rocker-1/front_left-1/Plate-1;Front_Rocker-1/front_right-1/Plate-1;Front_Rocker-1/front_right-1/Part5^front_right-1;Front_Rocker-1/SK8 SHAFT HOLDER-1;Front_Rocker-1/SK8 SHAFT HOLDER-2,Rocker_F,Axis_Front_Rocker,Front_Rocker,revolute,-0.20258446018362,-0.028863875893496,-0.165999991514701,-1.5707963267949,0,1.5707963267949,Body,0,0,1,0,0,-0.1489,0.1489,,,,,,,,
Left_Swivel,-0.0055161,1.2739E-05,-0.01869,0,0,0,0.023951,7.1738E-06,-2.0966E-09,-1.3788E-06,7.0277E-06,2.1974E-09,8.1749E-06,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_Swivel.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_Swivel.STL,,Front_Rocker-1/front_left-1/Swivel-1,Swivel_FL,Axis_Left_Swivel,Left_Swivel,continuous,-0.150080020215691,0.0618060476980877,0.000249999999995615,1.56950365642807,1.5707963267949,0,Front_Rocker,0,0,1,,,,,,,,,,,,
Left_F_Castor,-3.3994E-10,-1.1221E-09,-0.00025001,0,0,0,0.066598,3.1238E-05,-6.57E-11,1.2556E-13,3.1238E-05,-5.3421E-13,5.7299E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_F_Castor.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_F_Castor.STL,,Front_Rocker-1/front_left-1/JDPE 0751 1001 P - wheel.step-1,Castor_FL,Axis_Left_Castor,Left_F_Castor,continuous,-0.0284990864656565,0.000338482825321118,-0.0615,1.5707963267949,0,3.13848794578718,Left_Swivel,0,0,1,,,,,,,,,,,,
Right_Swivel,0.0055161,1.2739E-05,0.01869,0,0,0,0.023951,7.1738E-06,2.0966E-09,-1.3788E-06,7.0277E-06,-2.1974E-09,8.1749E-06,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_Swivel.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_Swivel.STL,,Front_Rocker-1/front_right-1/Swivel-1,Swivel_FR,Axis_Right_Swivel,Right_Swivel,continuous,0.149919729134843,0.0621938487001337,0.000249999999995337,1.57101363951164,-1.57079631189374,-3.14051729593971,Front_Rocker,0,0,-1,,,,,,,,,,,,
Right_F_Castor,-3.3994E-10,-1.1221E-09,-0.00025001,0,0,0,0.066598,3.1238E-05,-6.57E-11,1.2556E-13,3.1238E-05,-5.3421E-13,5.7299E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_F_Castor.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_F_Castor.STL,,Front_Rocker-1/front_right-1/JDPE 0751 1001 P - wheel.step-1,Castor_FR,Axis_Right_Castor,Right_F_Castor,continuous,0.0284990864656564,0.000338482825323672,0.0615,-1.5707963267949,0,0.00310470780269833,Right_Swivel,0,0,1,,,,,,,,,,,,
Left_Rocker,0.020083,0.043605,-1.8631E-05,0,0,0,0.32891,0.00014618,3.0209E-06,-4.0715E-07,0.0015014,9.0757E-10,0.0014044,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_Rocker.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_Rocker.STL,,Left_Rocker-1/SK16-4;Left_Rocker-1/3060_300-1;Left_Rocker-1/SK16-1;Left_Rocker-1/left_back_wheel-1/Part5^left_back_wheel-1;Left_Rocker-1/left_back_wheel-1/Plate-1;Left_Rocker-1/SK8 SHAFT HOLDER-5;Left_Rocker-1/SK8 SHAFT HOLDER-3,Rocker_L,Axis_Left_Rocker,Left_Rocker,revolute,0.128515534368436,-0.223763876422505,-0.166000007614144,-1.57079632679482,0,0,Body,0,0,-1,0,0,-0.1974,0.1974,,,,,,,,
Wheel_Left,-4.8441E-06,-7.4936E-06,0.033015,0,0,0,0.79712,0.0016716,-1.5959E-08,1.8884E-07,0.0016717,4.6996E-08,0.0030919,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Wheel_Left.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Wheel_Left.STL,,hoverboard_motor_assembly-1,Wheel_L,Axis_Wheel_Left,Wheel_Left,continuous,-0.123828055407334,0.0772762104016322,-0.0914000000000055,0,0,3.14159265358979,Left_Rocker,0,0,-1,,,,,,,,,,,,
Left_B_Swivel,-0.0055157,7.4257E-05,0.01869,0,0,0,0.023951,7.1738E-06,-2.056E-10,1.3787E-06,7.0277E-06,-1.955E-08,8.1749E-06,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_B_Swivel.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_B_Swivel.STL,,Left_Rocker-1/left_back_wheel-1/Swivel-1,Swivel_L,Axis_Left_Back_Swivel,Left_B_Swivel,continuous,0.100137952414771,0.0617769413792654,0.000249999999994199,-1.57079632679497,0,-0.00222904777115469,Left_Rocker,0,0,-1,,,,,,,,,,,,
Left_B_Castor,7.1676E-10,-9.2789E-10,0.00025001,0,0,0,0.066598,3.1238E-05,-6.7847E-11,-7.2659E-14,3.1238E-05,5.4392E-13,5.7299E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_B_Castor.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Left_B_Castor.STL,,Left_Rocker-1/left_back_wheel-1/JDPE 0751 1001 P - wheel.step-1,Castor_L,Axis_Left_Back_Castor,Left_B_Castor,continuous,-0.0285008801782213,0.000111036330494252,0.0615000000000014,-1.5707963267949,0,-0.0126675764120536,Left_B_Swivel,0,0,-1,,,,,,,,,,,,
Right_Rocker,0.019986,-0.04365,1.8631E-05,0,0,0,0.32891,0.00014617,1.0283E-13,4.0715E-07,0.0015014,7.5052E-19,0.0014044,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_Rocker.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_Rocker.STL,,Right_Rocker-1/SK16-1;Right_Rocker-1/SK16-4;Right_Rocker-1/3060_300-1;Right_Rocker-1/Wheel_1-1/Plate-1;Right_Rocker-1/SK8 SHAFT HOLDER-5;Right_Rocker-1/SK8 SHAFT HOLDER-3;Right_Rocker-1/Wheel_1-1/Part5^Wheel_1-1,Rocker_R,Axis_Right_Rocker,Right_Rocker,revolute,0.12831553530274,0.166236123577496,-0.166000007614144,1.57079632679489,0,0,Body,0,0,1,0,0,-0.1974,0.1974,,,,,,,,
Wheel_Right,-3.5947E-06,8.1669E-06,0.033015,0,0,0,0.79712,0.0016717,-8.8E-09,-6.4599E-08,0.0016716,-1.8356E-07,0.0030919,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Wheel_Right.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Wheel_Right.STL,,hoverboard_motor_assembly-2,Wheel_R,Axis_Wheel_Right,Wheel_Right,continuous,-0.123999999999997,-0.0769999999999851,-0.0893999999999986,0,0,0,Right_Rocker,0,0,-1,,,,,,,,,,,,
Right_B_Swivel,-0.0055157,7.4257E-05,0.01869,0,0,0,0.023951,7.1738E-06,-2.0559E-10,1.3787E-06,7.0277E-06,-1.955E-08,8.1749E-06,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_B_Swivel.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_B_Swivel.STL,,Right_Rocker-1/Wheel_1-1/Swivel-1,Swivel_R,Axis_Right_Back_Swivel,Right_B_Swivel,continuous,0.0999999999999997,-0.0620000000000008,-0.000249999999999639,1.5707963267949,0,0,Right_Rocker,0,0,-1,,,,,,,,,,,,
Right_B_Castor,7.1675E-10,9.2782E-10,-0.00025001,0,0,0,0.066598,3.1238E-05,6.7847E-11,7.2628E-14,3.1238E-05,5.4394E-13,5.7299E-05,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_B_Castor.STL,0.8,0.80784,0.8,1,0,0,0,0,0,0,package://aug2per_sim_fine/meshes/Right_B_Castor.STL,,Right_Rocker-1/Wheel_1-1/JDPE 0751 1001 P - wheel.step-1,Castor_R,Axis_Right_Back_Castor,Right_B_Castor,continuous,-0.0285008801782213,0.000111036330494363,0.0615000000000015,1.5707963267949,0,-0.0126675764120643,Right_B_Swivel,0,0,1,,,,,,,,,,,,
